"SUID","automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"2793","0.137","0.062","0.911","0.9","40.79636257","0.0","0","0.0","interacts with","Cd47 (interacts with) Cybb","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000015484","0","false","interacts with","Cd47 (interacts with) Cybb"
"2792","0.0","0.0","0.9","0.9","17.88962834","0.0","0","0.0","interacts with","Cd47 (interacts with) Tmbim1","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000016309","0","false","interacts with","Cd47 (interacts with) Tmbim1"
"2791","0.141","0.0","0.91","0.9","11.22429413","0.0","0","0.0","interacts with","Cd47 (interacts with) Plau","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000022368","0","false","interacts with","Cd47 (interacts with) Plau"
"1211","0.049","0.052","0.901","0.9","100.73501795","0.0","0","0.0","interacts with","Hbb-bs (interacts with) Mmp9","0","10090.ENSMUSP00000023934","10090.ENSMUSP00000017881","0","false","interacts with","Hbb-bs (interacts with) Mmp9"
"2790","0.06","0.0","0.901","0.9","12.16461676","0.0","0","0.0","interacts with","Cd47 (interacts with) Clec4d","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000032240","0","false","interacts with","Cd47 (interacts with) Clec4d"
"2789","0.2","0.094","0.923","0.9","19.5536752","0.071","0","0.0","interacts with","Cd47 (interacts with) Cd53","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000035781","0","false","interacts with","Cd47 (interacts with) Cd53"
"1210","0.082","0.274","0.848","0.0","105.6276267","0.8","0","0.985","interacts with","Hbb-bs (interacts with) Hbb-bt","0","10090.ENSMUSP00000023934","10090.ENSMUSP00000095794","0","false","interacts with","Hbb-bs (interacts with) Hbb-bt"
"2788","0.0","0.0","0.9","0.9","6.85238095","0.0","0","0.0","interacts with","Cd47 (interacts with) Rap2b","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000038841","0","false","interacts with","Cd47 (interacts with) Rap2b"
"1209","0.066","0.081","0.907","0.9","52.97617496","0.051","0","0.0","interacts with","Hbb-bs (interacts with) Lyz2","0","10090.ENSMUSP00000023934","10090.ENSMUSP00000089801","0","false","interacts with","Hbb-bs (interacts with) Lyz2"
"2787","0.0","0.0","0.9","0.9","8.94481417","0.0","0","0.0","interacts with","Cd47 (interacts with) mCG_19844","0","10090.ENSMUSP00000099853","10090.ENSMUSP00000042889","0","false","interacts with","Cd47 (interacts with) mCG_19844"
