"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","weight"
"151851","30.44956607","interacts with","ENSMUSG00000074607 (interacts with) ENSMUSG00000067370","false","interacts with","ENSMUSG00000074607 (interacts with) ENSMUSG00000067370","0.0154459120705987"
"151857","100.8849102","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000019838","false","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000019838","0.0154427424659224"
"151856","41.68568411","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000053192","false","interacts with","ENSMUSG00000042507 (interacts with) ENSMUSG00000053192","0.0154438015796785"
"143667","111.14098329","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000034205","false","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000034205","0.0204192009207198"
"151866","190.34322106","interacts with","ENSMUSG00000014303 (interacts with) ENSMUSG00000034993","false","interacts with","ENSMUSG00000014303 (interacts with) ENSMUSG00000034993","0.0154404666055068"
"143674","40.54901137","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000035342","false","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000035342","0.0204076592697124"
"143672","18.2584177","interacts with","ENSMUSG00000039231 (interacts with) ENSMUSG00000003344","false","interacts with","ENSMUSG00000039231 (interacts with) ENSMUSG00000003344","0.0204089249512477"
"151867","38.92923448","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000042642","false","interacts with","ENSMUSG00000034974 (interacts with) ENSMUSG00000042642","0.0154397562146072"
"151868","31.89872837","interacts with","ENSMUSG00000041058 (interacts with) ENSMUSG00000035198","false","interacts with","ENSMUSG00000041058 (interacts with) ENSMUSG00000035198","0.0154397508955745"
"151875","39.79571278","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000021136","false","interacts with","ENSMUSG00000048878 (interacts with) ENSMUSG00000021136","0.0154370795426508"
"143684","29.01168711","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000025647","false","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000025647","0.0204018848224409"
"151876","68.31171141","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000027602","false","interacts with","ENSMUSG00000034673 (interacts with) ENSMUSG00000027602","0.0154364253971604"
"151881","80.64144516","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000024038","false","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000024038","0.0154347356930932"
"143687","78.77551908","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000042507","false","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000042507","0.020401025867353"
"151880","46.70946875","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000058620","false","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000058620","0.0154348761835418"
"151886","66.42060213","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000026509","false","interacts with","ENSMUSG00000029478 (interacts with) ENSMUSG00000026509","0.0154326050742799"
"151884","126.85790327","interacts with","ENSMUSG00000026630 (interacts with) ENSMUSG00000034993","false","interacts with","ENSMUSG00000026630 (interacts with) ENSMUSG00000034993","0.0154327559200071"
"151893","127.74523766","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000002233","false","interacts with","ENSMUSG00000034430 (interacts with) ENSMUSG00000002233","0.0154292479002561"
"151894","52.15141277","interacts with","ENSMUSG00000026630 (interacts with) ENSMUSG00000095463","false","interacts with","ENSMUSG00000026630 (interacts with) ENSMUSG00000095463","0.0154282210252987"
"151891","90.28638006","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000067924","false","interacts with","ENSMUSG00000031162 (interacts with) ENSMUSG00000067924","0.0154296542643153"
"151898","28.24290912","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000057531","false","interacts with","ENSMUSG00000021540 (interacts with) ENSMUSG00000057531","0.0154275814533459"
"143706","45.43699979","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000020282","false","interacts with","ENSMUSG00000040857 (interacts with) ENSMUSG00000020282","0.0203830748072272"
"143710","23.69956905","interacts with","ENSMUSG00000002603 (interacts with) ENSMUSG00000029373","false","interacts with","ENSMUSG00000002603 (interacts with) ENSMUSG00000029373","0.0203813731253271"
"143707","36.25236412","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000003038","false","interacts with","ENSMUSG00000024953 (interacts with) ENSMUSG00000003038","0.0203829685512991"
"143708","32.90098849","interacts with","ENSMUSG00000000247 (interacts with) ENSMUSG00000032086","false","interacts with","ENSMUSG00000000247 (interacts with) ENSMUSG00000032086","0.0203822226392927"
"143717","55.40449598","interacts with","ENSMUSG00000068048 (interacts with) ENSMUSG00000021347","false","interacts with","ENSMUSG00000068048 (interacts with) ENSMUSG00000021347","0.0203735409563298"
"151914","103.59371818","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000053329","false","interacts with","ENSMUSG00000021221 (interacts with) ENSMUSG00000053329","0.0154222756236729"
"143719","43.21829327","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000021136","false","interacts with","ENSMUSG00000024805 (interacts with) ENSMUSG00000021136","0.0203721143540175"
