"SUID","__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"37919","6","4.65671642","0.01075653","0.21474359","0.2","6","9","false","Gm21685","5.5","6","0","0","0.66757123","false","0","Gm21685","3980","0.38095238"
"37419","6","4.59701493","0.00995025","0.21753247","0.33333333","3","8","false","Dap","3.0","3","0","0","0.67299864","false","0","Dap","1646","0.53333333"
"37420","6","5.5920398","0.0","0.17882562","0.0","1","9","false","Stk17b","3.0","1","0","0","0.58254184","false","0","Stk17b","0","0.0"
"37434","6","3.75124378","0.0","0.26657825","1.0","3","8","false","Fgd1","27.66666667","3","0","0","0.74988693","false","0","Fgd1","0","0.79047619"
"34371","6","5.65174129","1.658E-5","0.17693662","0.0","2","9","false","Tbx3","4.0","2","0","0","0.57711443","false","0","Tbx3","2","0.75"
"40016","6","4.74129353","0.0","0.21091291","0.0","1","8","false","Nfatc4","8.0","1","0","0","0.65988241","false","0","Nfatc4","0","0.0"
"35921","6","3.4278607","0.01726068","0.29172714","0.0","3","7","false","Tgfb1i1","17.0","3","0","0","0.77928539","false","0","Tgfb1i1","3468","0.34782609"
"33887","6","4.24378109","0.00401878","0.23563892","0.6","5","7","false","Spns2","7.6","5","0","0","0.70511081","false","0","Spns2","780","0.56923077"
"40052","6","4.53233831","0.0","0.22063666","1.0","2","8","false","Kcnj13","3.5","2","0","0","0.67887834","false","0","Kcnj13","0","0.7"
"35958","6","4.34825871","0.0","0.22997712","1.0","5","8","false","Obsl1","12.8","5","0","0","0.69561284","false","0","Obsl1","0","0.60952381"
"40568","6","3.75124378","0.0","0.26657825","1.0","3","8","false","Mcf2l","27.66666667","3","0","0","0.74988693","false","0","Mcf2l","0","0.79047619"
"35449","6","5.43283582","0.0","0.18406593","0.0","1","9","false","Fxyd3","2.0","1","0","0","0.59701493","false","0","Fxyd3","0","0.0"
"35962","6","5.67164179","0.00995025","0.17631579","0.0","2","10","false","Fam43a","1.5","2","0","0","0.57530529","false","0","Fam43a","1652","0.5"
"35451","6","5.85572139","0.0","0.17077315","0.0","1","10","false","Atp2a3","3.0","1","0","0","0.55857078","false","0","Atp2a3","0","0.0"
"35452","6","4.86069652","0.01003731","0.20573183","0.0","3","9","false","Stim1","2.33333333","3","0","0","0.64902759","false","0","Stim1","3262","0.44444444"
"34941","6","3.32338308","0.00317163","0.3008982","0.77142857","15","7","false","Lpar4","15.33333333","15","0","0","0.78878336","false","0","Lpar4","1418","0.30666667"
"35454","6","3.99502488","0.0083219","0.25031133","0.0","2","8","false","Atp2b2","8.0","2","0","0","0.72772501","false","0","Atp2b2","2828","0.53846154"
"39551","6","6.69651741","0.00995025","0.14933135","0.0","2","10","false","Hoxc10","1.5","2","0","0","0.48213478","false","0","Hoxc10","1024","0.5"
"34943","6","3.40298507","0.032206","0.29385965","0.62857143","15","8","false","Gm28040","13.13333333","15","0","0","0.78154681","false","0","Gm28040","5790","0.27801418"
"39552","6","5.71144279","0.019801","0.17508711","0.0","2","9","false","Tbx4","2.0","2","0","0","0.57168702","false","0","Tbx4","2044","0.5"
"39554","6","7.69154229","0.0","0.13001294","0.0","1","11","false","Hoxc6","2.0","1","0","0","0.39167797","false","0","Hoxc6","0","0.0"
"34946","6","3.31840796","0.01312188","0.30134933","0.675","16","7","false","Lpar6","14.375","16","0","0","0.78923564","false","0","Lpar6","3066","0.29209184"
"37508","6","3.47761194","0.01431472","0.28755365","0.41666667","9","8","false","Plcd3","8.22222222","9","0","0","0.77476255","false","0","Plcd3","2662","0.23492063"
"34951","6","3.4278607","0.01521349","0.29172714","0.83333333","13","8","false","Gpr4","15.0","13","0","0","0.77928539","false","0","Gpr4","2662","0.31751227"
"34441","6","3.75124378","0.0","0.26657825","1.0","3","8","false","Akap13","27.66666667","3","0","0","0.74988693","false","0","Akap13","0","0.79047619"
"34953","6","3.32835821","0.00248619","0.30044843","0.84615385","14","7","false","F2rl3","15.92857143","14","0","0","0.78833107","false","0","F2rl3","1118","0.31857143"
"34955","6","3.34825871","0.00165806","0.2986627","0.91025641","13","7","false","F2rl2","16.0","13","0","0","0.78652194","false","0","F2rl2","832","0.33333333"
