"SUID","__glayCluster","name","selected","shared name"
"3596","7","Pag1","false","Pag1"
"3990","1","Nuak1","false","Nuak1"
"3991","1","Btbd11","false","Btbd11"
"3332","6","Irx4","false","Irx4"
"3131","2","Sgsm2","false","Sgsm2"
"3992","20","Slc16a4","false","Slc16a4"
"3993","5","Itga6","false","Itga6"
"3994","12","Hdac6","false","Hdac6"
"3995","12","Hdac7","false","Hdac7"
"3333","4","Zfx","false","Zfx"
"3334","4","Irf2","false","Irf2"
"3996","12","Ing2","false","Ing2"
"3997","12","Tbl1xr1","false","Tbl1xr1"
"3597","5","Eml4","false","Eml4"
"3998","3","Znfx1","false","Znfx1"
"3335","5","Irak2","false","Irak2"
"3999","12","Hdac11","false","Hdac11"
"4000","12","Sin3b","false","Sin3b"
"4001","12","Brms1l","false","Brms1l"
"3336","6","Ipmk","false","Ipmk"
"4004","5","Rgma","false","Rgma"
"4005","4","Chrdl2","false","Chrdl2"
"3598","5","Traf6","false","Traf6"
"3337","1","Insc","false","Insc"
"4006","1","Dlx3","false","Dlx3"
"3338","6","Sh3bp1","false","Sh3bp1"
"3599","5","Gab2","false","Gab2"
"4007","1","Wnt4","false","Wnt4"
"3339","6","Plekha1","false","Plekha1"
"3132","27","Slc25a1","false","Slc25a1"
"3133","27","Sept6","false","Sept6"
"4008","1","Wnt2","false","Wnt2"
"3134","27","Sept8","false","Sept8"
"4009","5","Mapk14","false","Mapk14"
"4010","6","Tbx2","false","Tbx2"
"3340","6","Mtmr4","false","Mtmr4"
"3135","13","Sepn1","false","Sepn1"
"3600","7","Sema3g","false","Sema3g"
"3136","13","Selm","false","Selm"
"3341","6","Inpp4b","false","Inpp4b"
"3601","7","Efnb1","false","Efnb1"
"3342","6","Inpp4a","false","Inpp4a"
"4011","6","Mtm1","false","Mtm1"
"3602","3","Ecscr","false","Ecscr"
"4012","1","Ehd1","false","Ehd1"
"4013","6","Zcwpw1","false","Zcwpw1"
"3345","1","Pard6b","false","Pard6b"
"4014","1","Ehd3","false","Ehd3"
"3346","1","Txnip","false","Txnip"
"4015","1","Exoc3l2","false","Exoc3l2"
"4016","2","Csnk1e","false","Csnk1e"
"3137","2","Sbno1","false","Sbno1"
"4017","5","Cebpa","false","Cebpa"
"3603","3","Ece1","false","Ece1"
"4018","2","Bhlhe41","false","Bhlhe41"
"3604","6","ENSMUSG00000053080","false","ENSMUSG00000053080"
"3605","8","ENSMUSG00000045838","false","ENSMUSG00000045838"
"4019","5","Cebpb","false","Cebpb"
"3347","5","Klhl6","false","Klhl6"
"4020","2","Cry2","false","Cry2"
"3606","13","Slc6a14","false","Slc6a14"
"4021","5","Ikzf1","false","Ikzf1"
"4022","2","Bhlhe40","false","Bhlhe40"
"3607","22","ENSMUSG00000022179","false","ENSMUSG00000022179"
"4023","8","Dse","false","Dse"
"3608","5","E2f8","false","E2f8"
"3138","12","Trim24","false","Trim24"
"4024","8","Chst14","false","Chst14"
"4025","4","Gpc1","false","Gpc1"
"4026","5","Col9a1","false","Col9a1"
"4027","5","Dcn","false","Dcn"
"4028","8","Chst12","false","Chst12"
"3609","27","Sept4","false","Sept4"
"3139","1","Tmem255a","false","Tmem255a"
"4029","8","Chst7","false","Chst7"
"4030","8","Chst13","false","Chst13"
"3610","3","Dtx3","false","Dtx3"
"4031","5","Loxl1","false","Loxl1"
"3611","3","Notch3","false","Notch3"
"4032","5","Col4a1","false","Col4a1"
"3612","3","Nrarp","false","Nrarp"
"3613","3","Megf6","false","Megf6"
"4033","5","Col6a3","false","Col6a3"
"4034","5","Serpinh1","false","Serpinh1"
"3614","3","Notch4","false","Notch4"
"3615","3","Dtx1","false","Dtx1"
"4035","5","Mfap2","false","Mfap2"
"3616","8","Dstyk","false","Dstyk"
"4036","5","Mmp2","false","Mmp2"
"4037","1","Gpc4","false","Gpc4"
"3617","7","Mical1","false","Mical1"
"3142","1","Rnf181","false","Rnf181"
"4038","8","Xylt1","false","Xylt1"
"4039","5","Pcolce","false","Pcolce"
"3618","23","Pomt2","false","Pomt2"
