"SUID","EdgeBetweenness","interaction","name","regulatoryGene","selected","shared interaction","shared name","weight"
"23725","13.3686778","interacts with","Kdm5b (interacts with) Nap1l4","ENSMUSG00000042207","false","interacts with","Kdm5b (interacts with) Nap1l4","0.0289682121136326"
"23727","35.83374818","interacts with","Zzz3 (interacts with) Get4","ENSMUSG00000039068","false","interacts with","Zzz3 (interacts with) Get4","0.0289642949578775"
"23729","16.50227429","interacts with","Ruvbl2 (interacts with) Hnrnpa1","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Hnrnpa1","0.0289582539337374"
"23730","8.81389495","interacts with","Zfp982 (interacts with) Lman1","ENSMUSG00000078496","false","interacts with","Zfp982 (interacts with) Lman1","0.0289514737043314"
"23733","18.29301933","interacts with","Ttf2 (interacts with) Nudt3","ENSMUSG00000033222","false","interacts with","Ttf2 (interacts with) Nudt3","0.0289446744303118"
"23734","20.28248298","interacts with","Gabpa (interacts with) Pacsin2","ENSMUSG00000008976","false","interacts with","Gabpa (interacts with) Pacsin2","0.0289402464670656"
"23735","32.58442067","interacts with","Ubtf (interacts with) Gpbp1","ENSMUSG00000020923","false","interacts with","Ubtf (interacts with) Gpbp1","0.0289391225691619"
"23736","42.04131898","interacts with","Ruvbl2 (interacts with) Pacsin2","ENSMUSG00000003868","false","interacts with","Ruvbl2 (interacts with) Pacsin2","0.0289382069956442"
"23738","28.18654927","interacts with","Yeats2 (interacts with) Dync1li2","ENSMUSG00000041215","false","interacts with","Yeats2 (interacts with) Dync1li2","0.0289306203075578"
"23741","38.37709336","interacts with","Hells (interacts with) Ankrd13a","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Ankrd13a","0.0289222840279743"
"23746","27.49294656","interacts with","Csde1 (interacts with) Zranb2","ENSMUSG00000068823","false","interacts with","Csde1 (interacts with) Zranb2","0.0289125516574268"
"23752","5.35553362","interacts with","Cbx5 (interacts with) Dync1li2","ENSMUSG00000009575","false","interacts with","Cbx5 (interacts with) Dync1li2","0.02888739671556"
"23755","40.83622717","interacts with","Nsd2 (interacts with) Gm28036","ENSMUSG00000057406","false","interacts with","Nsd2 (interacts with) Gm28036","0.0288763221066869"
"23758","16.25850589","interacts with","Chd4 (interacts with) Ccm2","ENSMUSG00000063870","false","interacts with","Chd4 (interacts with) Ccm2","0.0288694825059578"
"23759","24.94315541","interacts with","Cops2 (interacts with) Leprot","ENSMUSG00000027206","false","interacts with","Cops2 (interacts with) Leprot","0.0288661584125905"
"23760","9.74884263","interacts with","Ezh2 (interacts with) Hnrnpa1","ENSMUSG00000029687","false","interacts with","Ezh2 (interacts with) Hnrnpa1","0.0288639984446408"
"23762","34.87615102","interacts with","Hells (interacts with) Csnk1e","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Csnk1e","0.0288631642919958"
"23763","81.83764418","interacts with","Kdm5c (interacts with) Idi1","ENSMUSG00000025332","false","interacts with","Kdm5c (interacts with) Idi1","0.0288567444788293"
"23766","21.31034785","interacts with","Hells (interacts with) Ccm2","ENSMUSG00000025001","false","interacts with","Hells (interacts with) Ccm2","0.0288491822906078"
"23767","42.29788017","interacts with","Smarcc1 (interacts with) G3bp2","ENSMUSG00000032481","false","interacts with","Smarcc1 (interacts with) G3bp2","0.0288433617623098"
"23770","44.32790765","interacts with","Ddx1 (interacts with) Pwp1","ENSMUSG00000037149","false","interacts with","Ddx1 (interacts with) Pwp1","0.0288312055184224"
